Date,Document,Importance,Procedural/Factual Step,Legal Meaning/Summary,Meta Meaning/Summary
2021-09-08,[2021_09_08 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_09_08%20WCC%20Hearing%20Continued.pdf),🔵 formality,Continuation continues,Long process,Deliberate pace
2021-10-08,[2021_10_08 Goddard Revised NOI Site Plan.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_08%20Goddard%20Revised%20NOI%20Site%20Plan.pdf),🔵 formality,Another revised site plan,Continued adjustments,Fine-tuning proposal
2021-10-13,[2021_10_13 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_13%20Minutes%20%20Conservation%20Commission.pdf),🔵 formality,WCC meeting minutes,Regular proceedings,Standard business
2021-10-18,[2021_10_18 Delapa Withdrawal of NOI from Town Bylaws.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_18%20Delapa%20Withdrawal%20of%20NOI%20from%20Town%20Bylaws.pdf),🟡 critical,Delapa withdraws NOI from town bylaw review only,Strategic retreat to state jurisdiction,Avoiding local authority again
2021-10-27,[2021_10_27 WCC Hearing Continued - Mr Stephen David recuses himself.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_27%20WCC%20Hearing%20Continued%20-%20Mr%20Stephen%20David%20recuses%20himself.pdf),🟡 critical,Commissioner Stephen David recuses himself,Conflict of interest revealed,Procedural complication
2021-11-10,[2021_11_10 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_10%20Minutes%20%20Conservation%20Commission.pdf),🟡 critical,WCC meeting where denial decision made,Hearing closed after 16 continuances,Commission reaches conclusion
2021-11-17,[2021_11_17_Order_of_Conditions_Denial #338-0706 - #438-0706.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_17_Order_of_Conditions_Denial%20%23338-0706%20-%20%23438-0706.pdf),🟡 critical,"WCC denies OOC finding project cannot meet performance standards, cites 550 sq ft wetland fill",Formal denial based on environmental impact,Town stands firm on protection
2021-11-18,[2021_11_18 WCC Denial of NoI.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_18%20WCC%20Denial%20of%20NoI.pdf),🟡 critical,Formal WCC denial document,Official rejection,Clear no from town
2021-11-30,[2021_11_30 Goddard DEP SOC Request.jpg](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_30%20Goddard%20DEP%20SOC%20Request.jpg),🟡 critical,"Appeal to DEP claiming project meets standards with 700 sq ft replication for 550 sq ft fill",Seeks state override of local denial,Predictable appeal to state
2021-12-15,[2021_12_15 DEP Site Inspection Notice.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_12_15%20DEP%20Site%20Inspection%20Notice.pdf),🟡 critical,DEP schedules site visit for SOC review,State begins override process,DEP takes appeal seriously
2022-01-06,[❌ 2022_01_06_MISSING_DEP_Site_Visit_Notes.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_06_MISSING_DEP_Site_Visit_Notes.txt),🟡 critical,"DEP site visit with applicant, WCC rep, and peer reviewer present",All parties make their case,Critical inspection
2022-01-11,[2022_01_11 DEP letter to Delapa.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_11%20DEP%20letter%20to%20Delapa.pdf),🟡 critical,DEP requests quantification of BLSF impacts and flood storage per 310 CMR 10.57(4),Technical requirements specified,DEP doing due diligence
2022-01-12,[2022_01_12_Case Details - Massachusetts Trial Court N3.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_Case%20Details%20-%20Massachusetts%20Trial%20Court%20N3.pdf),🟡 critical,Court case filing details,Litigation tracking,Legal process begins
2022-01-12,[2022_01_12_DelapavsWCC_Docket001_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket001_OCR2.pdf),🟡 critical,Delapa files lawsuit against WCC,Parallel legal pressure during appeal,Two-front attack
2022-01-12,[2022_01_12_DelapavsWCC_Docket002_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket002_OCR2.pdf),🟡 critical,Court docket entry,Case progresses,Legal proceedings
2022-02-07,[2022_02_07 Legal Negotiation.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_07%20Legal%20Negotiation.pdf),🔴 privileged,Settlement negotiation document,Parties exploring resolution,Behind scenes talks
2022-02-08,[2022_02_08 Goddard Information Request.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_08%20Goddard%20Information%20Request.pdf),🔵 formality,"Goddard submits response with revised plans dated Jan 31, 2022",Addressing DEP requirements,Technical compliance
2022-02-23,[❌ 2022_02_23_MISSING_DEP_Cut_Fill_Request.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_23_MISSING_DEP_Cut_Fill_Request.txt),🟡 critical,DEP requests cut and fill table as per Jan 11 request,DEP follows up on missing info,Persistence on requirements
2022-02-25,[❌ 2022_02_25_MISSING_BLSF_Cut_Fill_Chart.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_25_MISSING_BLSF_Cut_Fill_Chart.txt),🟡 critical,BLSF cut/fill chart submitted,Technical data provided,Meeting requirements
2022-03-07,[2022_03_07 Letter from DEP to Delapa.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_07%20Letter%20from%20DEP%20to%20Delapa.pdf),🟡 critical,DEP requests clarification on inconsistent floodplain elevations,Technical issues identified,DEP scrutinizing details
2022-03-14,[2022_03_14 Delapa Letter.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_14%20Delapa%20Letter.pdf),🔵 formality,"Response with new revised plans dated March 8, 2022",Addressing elevation concerns,Technical corrections
2022-03-21,[2022_03_21 Email Donahoe - Catrone .pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_21%20Email%20Donahoe%20-%20Catrone%20.pdf),🟣 b/g communication,Peer reviewer and WCC administrator exchange,Technical discussions,Coordination continues
2022-03-28,[2022_03_28 Brian Donahoe - Karon email.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_28%20Brian%20Donahoe%20-%20Karon%20email.pdf),🟣 b/g communication,Peer reviewer correspondence,Technical matters,Ongoing review
2022-03-31,[2022_03_31_DelapavsWCC_Docket003_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_31_DelapavsWCC_Docket003_OCR2.pdf),🟡 critical,Court docket entry,Legal proceedings continue,Case development
2022-03-31,[2022_03_31_DelapavsWCC_Docket004_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_03_31_DelapavsWCC_Docket004_OCR2.pdf),🟡 critical,Court docket entry,Case progresses,Legal pressure
2022-04-01,[2022_04_01 Re Request of Suerpseding Order Letter from Town Counsel.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_04_01%20Re%20Request%20of%20Suerpseding%20Order%20Letter%20from%20Town%20Counsel.pdf),🟡 critical,Town Counsel responds to SOC request,Town's legal position stated,Official opposition
2022-04-20,[2022_04_20_DelapavsWCC_Docket005_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_04_20_DelapavsWCC_Docket005_OCR2.pdf),🟡 critical,Court docket entry,Continued proceedings,Legal timeline
2022-05-06,[2022_05_06_Superseding Order of Conditions.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_06_Superseding%20Order%20of%20Conditions.pdf),🟡 critical,"DEP issues SOC overruling WCC denial, reserves right to raise additional issues",State overrides local decision again,Developer wins at state level
2022-05-07,[2022_05_07 Note on SOC Covid Extension](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_07%20Note%20on%20SOC%20Covid%20Extension),🔵 formality,Note on COVID extension for SOC,Administrative matter,Extended timelines
2022-05-19,[2022_05_19 338-0706 Letter from Town Counsel.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_05_19%20338-0706%20Letter%20from%20Town%20Counsel.pdf),🟡 critical,Town Counsel responds to SOC issuance,Town's position on override,Considering options
2022-08-14,[2022_08_14_DelapavsWCC_Docket006_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_08_14_DelapavsWCC_Docket006_OCR2.pdf),🟡 critical,Court docket entry,Case continues,Legal proceedings
2022-08-23,[2022_08_23 Notice - Order of Status Review.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_08_23%20Notice%20-%20Order%20of%20Status%20Review.pdf),🟡 critical,Court orders status review,Judge wants update,Pressure for resolution
2022-09-08,[2022_09_08_DelapavsWCC_Docket007_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_08_DelapavsWCC_Docket007_OCR2.pdf),🟡 critical,Court docket entry,Proceedings continue,Case development
2022-09-09,[2022_09_09_DelapavsWCC_Docket008_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_09_DelapavsWCC_Docket008_OCR2.pdf),🟡 critical,Court docket entry,Legal process,Ongoing litigation
2022-09-12,[2022_09_12 letter from Goddard.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_12%20letter%20from%20Goddard.pdf),🔵 formality,"Goddard letter proposing dam repair for $25,000 max",Settlement component proposed,Dam repair as bargaining chip
2022-09-12,[2022_09_12 Unsigned Settlement Agreement.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_09_12%20Unsigned%20Settlement%20Agreement.pdf),🔴 privileged,"Draft settlement: WCC accepts SOC, Delapa repairs dam, new NOI for dam required",Terms taking shape,Compromise emerging
2022-10-26,[2022_10_26_42 Mill Street signed MOU 10-26-2022.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_10_26_42%20Mill%20Street%20signed%20MOU%2010-26-2022.pdf),🟡 critical,"Signed MOU: WCC accepts SOC, dam repair required, building permit after dam NOI filed",Settlement executed with conditions,Town extracts dam repair
2022-12-20,[2022_12_20_DelapavsWCC_Docket009_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_12_20_DelapavsWCC_Docket009_OCR2.pdf),🟡 critical,Court docket entry,Case winding down,Near resolution
2023-01-18,[2023_01_18 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_01_18%20WCC%20Hearing%20Continued.pdf),🔵 formality,WCC hearing continuation,New phase begins,Dam proceedings
2023-03-27,[2023_03_27_DelapavsWCC_Docket010_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_03_27_DelapavsWCC_Docket010_OCR2.pdf),🟡 critical,Court docket entry,Case continues,Legal wrap-up
2023-04-24,[2023_04_24_DelapavsWCC_Docket011_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_04_24_DelapavsWCC_Docket011_OCR2.pdf),🟡 critical,Court docket entry,Near conclusion,Final stages
2023-04-24,[2023_04_24_DelapavsWCC_Docket012_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_04_24_DelapavsWCC_Docket012_OCR2.pdf),🟡 critical,Court docket entry - case closure,Litigation dismissed per settlement,Legal pressure ends
2023-05-22,[2023_05_22_Dam_Restoration_Site_Plan_Figure4.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_22_Dam_Restoration_Site_Plan_Figure4.pdf),🟡 critical,Dam restoration engineering plan Figure 4,Technical plans for dam work,Settlement obligation details
2023-05-23,[2023_05_23_WPA_Form_3_NOI_Dam_Restoration.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_23_WPA_Form_3_NOI_Dam_Restoration.pdf),🟡 critical,NOI for dam restoration filed per settlement,Fulfilling settlement terms,Required before building permit
2023-05-27,[2023_05_27 DeMelle - Catrone Dam Ownership](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_05_27%20DeMelle%20-%20Catrone%20Dam%20Ownership),🟣 b/g communication,Dam ownership discussion continues,Ongoing issue,Leverage point remains
2023-06-14,[2023_06_14_Legal_Notice_Dam_Restoration_Hearing.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_14_Legal_Notice_Dam_Restoration_Hearing.pdf),🔵 formality,Public hearing notice for dam restoration,Required public process,Following procedures
2023-06-22,[2023_06_22_DelapavsWCC_Docket013_OCR2.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_22_DelapavsWCC_Docket013_OCR2.pdf),🟡 critical,Final court docket entry,Case officially closed,Litigation ends
2023-06-28,[2023_06_28 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_28%20WCC%20Hearing%20Continued.pdf),🔵 formality,Dam restoration hearing continued,Review process begins,New delays start
2023-06-29,[2023_06_29_FOIA_REQUEST FORMALLY FILED](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_06_29_FOIA_REQUEST%20FORMALLY%20FILED),🔵 formality,FOIA request filed,Seeking government records,Transparency effort
2023-07-12,[2023_07_12 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_07_12%20Minutes%20%20Conservation%20Commission.pdf),🔵 formality,WCC meeting minutes,Regular proceedings,Dam review continues
2023-07-26,[2023_07_26 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_07_26%20Minutes%20%20Conservation%20Commission.pdf),🔵 formality,WCC meeting minutes,Ongoing review,Process continues
2023-09-01,[2023_09_01 - Response-booklet_Mon_Sep_11_2023_09-01-40.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_01%20-%20Response-booklet_Mon_Sep_11_2023_09-01-40.pdf),🟡 critical,Goddard submits response booklet with revised plans to BETA Group review,Addressing peer review comments,Technical compliance attempt
2023-09-13,[2023_09_13  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_13%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,Dam hearing continuation,Extended review,Process drags
2023-09-27,[2023_09_27 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_09_27%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another continuation,Delays continue,Pattern repeats
2023-10-11,[2023_10_11  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_10_11%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,Continued again,Long process,Testing patience
2023-10-25,[2023_10_25  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_10_25%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,Dam hearing continuation,Ongoing delays,WCC taking their time
2023-11-08,[2023_11_08  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_11_08%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,Hearing continues,Extended timeline,Thorough review
2023-12-13,[2023_12_13  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_12_13%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another continuation,Year ends with delays,No resolution yet
2023-12-31,[❌ 2023_MISSING_BETA_Final_Peer_Review_Report.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2023_MISSING_BETA_Final_Peer_Review_Report.txt),🟡 critical,BETA final peer review report for dam project,Professional evaluation of dam plans,Key technical assessment missing
2024-01-10,[2024_01_10  WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2024_01_10%20%20WCC%20Hearing%20Continued.pdf),🔵 formality,2024 begins with continuation,New year same delays,Process continues
2025-07-22,[2025_07_22_ChatGPT_Timeline Request Summary.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2025_07_22_ChatGPT_Timeline%20Request%20Summary.pdf),⚪ color,AI-generated timeline summary,Documentation effort,Meta-documentation
2025-07-23,[2025_07_23 WCC Meeting](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2025_07_23%20WCC%20Meeting),🔵 formality,"WCC Meeting where NOI presented, continued to September",Current status update,Dam still pending after 2+ years
2025-07-29,[2025_07_29 DeMelle email to Catrone](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2025_07_29%20DeMelle%20email%20to%20Catrone),🟣 b/g communication,Recent email exchange,Current correspondence,Ongoing dialogue
,,[Undated message from Abby McCabe.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/Undated%20message%20from%20Abby%20McCabe.pdf),⚪ color,Message from Abby McCabe,Public input,Community voice
,,[USGIS Orthophoto View of Locus Site - Lot 2B Mill St.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/USGIS%20Orthophoto%20View%20of%20Locus%20Site%20-%20Lot%202B%20Mill%20St.pdf),⚪ color,Aerial photo of site,Visual documentation,Site context
,,[USGS Site Locus - Lot 2B Mill St.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/USGS%20Site%20Locus%20-%20Lot%202B%20Mill%20St.pdf),⚪ color,USGS site location map,Geographic reference,Location documentation
