Date,Time,Event_Description,Document_Type,Significance,Entity,Source_Document,File_Link,Display_Date,Notes,Status
2022-03-14,,Delapa Letter,Legal Documents,formality,Delapa,2022_03_14 Delapa Letter.pdf,./Dated Documents/2022_03_14 Delapa Letter.pdf,March 14 2022,Correspondence from Delapa,Located
2022-03-21,,Email Donahoe-Catrone,Emails,b/g communication,Donahoe/Catrone,2022_03_21 Email Donahoe - Catrone .pdf,./Dated Documents/2022_03_21 Email Donahoe - Catrone .pdf,March 21 2022,Email exchange,Located
2022-03-28,,Brian Donahoe-Karon Email,Emails,b/g communication,Donahoe/Karon,2022_03_28 Brian Donahoe - Karon email.pdf,./Dated Documents/2022_03_28 Brian Donahoe - Karon email.pdf,March 28 2022,Email correspondence,Located
2022-03-31,,Delapa vs WCC Docket 003,Legal Documents,critical,Court,2022_03_31_DelapavsWCC_Docket003_OCR2.pdf,./Dated Documents/2022_03_31_DelapavsWCC_Docket003_OCR2.pdf,March 31 2022,Court docket entry,Located
2022-03-31,,Delapa vs WCC Docket 004,Legal Documents,critical,Court,2022_03_31_DelapavsWCC_Docket004_OCR2.pdf,./Dated Documents/2022_03_31_DelapavsWCC_Docket004_OCR2.pdf,March 31 2022,Court docket entry,Located
2022-04-01,,Request of Superseding Order Letter from Town Counsel,Legal Documents,critical,Town Counsel,2022_04_01 Re Request of Suerpseding Order Letter from Town Counsel.pdf,./Dated Documents/2022_04_01 Re Request of Suerpseding Order Letter from Town Counsel.pdf,April 1 2022,Town's position on SOC request,Located
2022-04-20,,Delapa vs WCC Docket 005,Legal Documents,critical,Court,2022_04_20_DelapavsWCC_Docket005_OCR2.pdf,./Dated Documents/2022_04_20_DelapavsWCC_Docket005_OCR2.pdf,April 20 2022,Court docket entry,Located
2022-05-06,,Superseding Order of Conditions,DEP Correspondence,critical,DEP,2022_05_06_Superseding Order of Conditions.pdf,./Dated Documents/2022_05_06_Superseding Order of Conditions.pdf,May 6 2022,DEP issues SOC overruling WCC denial,Located
2022-05-07,,Note on SOC Covid Extension,DEP Correspondence,formality,Unknown,2022_05_07 Note on SOC Covid Extension,./Dated Documents/2022_05_07 Note on SOC Covid Extension,May 7 2022,COVID extension note for SOC,Located
2022-05-19,,338-0706 Letter from Town Counsel,Legal Documents,critical,Town Counsel,2022_05_19 338-0706 Letter from Town Counsel.pdf,./Dated Documents/2022_05_19 338-0706 Letter from Town Counsel.pdf,May 19 2022,Town response to SOC issuance,Located
2022-08-14,,Delapa vs WCC Docket 006,Legal Documents,critical,Court,2022_08_14_DelapavsWCC_Docket006_OCR2.pdf,./Dated Documents/2022_08_14_DelapavsWCC_Docket006_OCR2.pdf,August 14 2022,Court docket entry,Located
2022-08-23,,Notice - Order of Status Review,Legal Documents,critical,Court,2022_08_23 Notice - Order of Status Review.pdf,./Dated Documents/2022_08_23 Notice - Order of Status Review.pdf,August 23 2022,Court status review order,Located
2022-09-08,,Delapa vs WCC Docket 007,Legal Documents,critical,Court,2022_09_08_DelapavsWCC_Docket007_OCR2.pdf,./Dated Documents/2022_09_08_DelapavsWCC_Docket007_OCR2.pdf,September 8 2022,Court docket entry,Located
2022-09-09,,Delapa vs WCC Docket 008,Legal Documents,critical,Court,2022_09_09_DelapavsWCC_Docket008_OCR2.pdf,./Dated Documents/2022_09_09_DelapavsWCC_Docket008_OCR2.pdf,September 9 2022,Court docket entry,Located
2022-09-12,,Letter from Goddard,Legal Documents,formality,Goddard,2022_09_12 letter from Goddard.pdf,./Dated Documents/2022_09_12 letter from Goddard.pdf,September 12 2022,Correspondence from Goddard,Located
2022-09-12,,Unsigned Settlement Agreement,Settlement Documents,privileged,Parties,2022_09_12 Unsigned Settlement Agreement.pdf,./Dated Documents/2022_09_12 Unsigned Settlement Agreement.pdf,September 12 2022,Draft settlement terms,Located
2022-10-26,,42 Mill Street Signed MOU,Settlement Documents,critical,All Parties,2022_10_26_42 Mill Street signed MOU 10-26-2022.pdf,./Dated Documents/2022_10_26_42 Mill Street signed MOU 10-26-2022.pdf,October 26 2022,Executed Memorandum of Understanding,Located
2022-12-20,,Delapa vs WCC Docket 009,Legal Documents,critical,Court,2022_12_20_DelapavsWCC_Docket009_OCR2.pdf,./Dated Documents/2022_12_20_DelapavsWCC_Docket009_OCR2.pdf,December 20 2022,Court docket entry,Located
2023-01-18,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_01_18 WCC Hearing Continued.pdf,./Dated Documents/2023_01_18 WCC Hearing Continued.pdf,January 18 2023,Hearing continuation notice,Located
2023-03-27,,Delapa vs WCC Docket 010,Legal Documents,critical,Court,2023_03_27_DelapavsWCC_Docket010_OCR2.pdf,./Dated Documents/2023_03_27_DelapavsWCC_Docket010_OCR2.pdf,March 27 2023,Court docket entry,Located
2023-04-24,,Delapa vs WCC Docket 011,Legal Documents,critical,Court,2023_04_24_DelapavsWCC_Docket011_OCR2.pdf,./Dated Documents/2023_04_24_DelapavsWCC_Docket011_OCR2.pdf,April 24 2023,Court docket entry,Located
2023-04-24,,Delapa vs WCC Docket 012,Legal Documents,critical,Court,2023_04_24_DelapavsWCC_Docket012_OCR2.pdf,./Dated Documents/2023_04_24_DelapavsWCC_Docket012_OCR2.pdf,April 24 2023,Court docket entry - case closure,Located
2023-05-22,,Dam Restoration Site Plan Figure 4,Site Plans,critical,Engineer,2023_05_22_Dam_Restoration_Site_Plan_Figure4.pdf,./Dated Documents/2023_05_22_Dam_Restoration_Site_Plan_Figure4.pdf,May 22 2023,Dam restoration engineering plan,Located
2023-05-23,,WPA Form 3 NOI Dam Restoration,NOI Applications,critical,Applicant,2023_05_23_WPA_Form_3_NOI_Dam_Restoration.pdf,./Dated Documents/2023_05_23_WPA_Form_3_NOI_Dam_Restoration.pdf,May 23 2023,New NOI for dam work,Located
2023-05-27,,DeMelle-Catrone Dam Ownership,Emails,b/g communication,DeMelle/Catrone,2023_05_27 DeMelle - Catrone Dam Ownership,./Dated Documents/2023_05_27 DeMelle - Catrone Dam Ownership,May 27 2023,Dam ownership discussion,Located
2023-06-14,,Legal Notice Dam Restoration Hearing,Legal Documents,formality,WCC,2023_06_14_Legal_Notice_Dam_Restoration_Hearing.pdf,./Dated Documents/2023_06_14_Legal_Notice_Dam_Restoration_Hearing.pdf,June 14 2023,Public hearing notice for dam work,Located
2023-06-22,,Delapa vs WCC Docket 013,Legal Documents,critical,Court,2023_06_22_DelapavsWCC_Docket013_OCR2.pdf,./Dated Documents/2023_06_22_DelapavsWCC_Docket013_OCR2.pdf,June 22 2023,Final court docket entry,Located
2023-06-28,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_06_28 WCC Hearing Continued.pdf,./Dated Documents/2023_06_28 WCC Hearing Continued.pdf,June 28 2023,Dam hearing continuation,Located
2023-06-29,,FOIA Request Formally Filed,Legal Documents,formality,Unknown,2023_06_29_FOIA_REQUEST FORMALLY FILED,./Dated Documents/2023_06_29_FOIA_REQUEST FORMALLY FILED,June 29 2023,Freedom of Information Act request,Located
2023-07-12,,Conservation Commission Minutes,WCC Meetings,formality,WCC,2023_07_12 Minutes  Conservation Commission.pdf,./Dated Documents/2023_07_12 Minutes  Conservation Commission.pdf,July 12 2023,Regular meeting minutes,Located
2023-07-26,,Conservation Commission Minutes,WCC Meetings,formality,WCC,2023_07_26 Minutes  Conservation Commission.pdf,./Dated Documents/2023_07_26 Minutes  Conservation Commission.pdf,July 26 2023,Regular meeting minutes,Located
2023-09-01,,Response Booklet,Legal Documents,critical,Unknown,2023_09_01 - Response-booklet_Mon_Sep_11_2023_09-01-40.pdf,./Dated Documents/2023_09_01 - Response-booklet_Mon_Sep_11_2023_09-01-40.pdf,September 1 2023,Comprehensive response document,Located
2023-09-13,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_09_13  WCC Hearing Continued.pdf,./Dated Documents/2023_09_13  WCC Hearing Continued.pdf,September 13 2023,Dam hearing continuation,Located
2023-09-27,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_09_27 WCC Hearing Continued.pdf,./Dated Documents/2023_09_27 WCC Hearing Continued.pdf,September 27 2023,Dam hearing continuation,Located
2023-10-11,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_10_11  WCC Hearing Continued.pdf,./Dated Documents/2023_10_11  WCC Hearing Continued.pdf,October 11 2023,Dam hearing continuation,Located
2023-10-25,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_10_25  WCC Hearing Continued.pdf,./Dated Documents/2023_10_25  WCC Hearing Continued.pdf,October 25 2023,Dam hearing continuation,Located
2023-11-08,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_11_08  WCC Hearing Continued.pdf,./Dated Documents/2023_11_08  WCC Hearing Continued.pdf,November 8 2023,Dam hearing continuation,Located
2023-12-13,,WCC Hearing Continued,WCC Meetings,formality,WCC,2023_12_13  WCC Hearing Continued.pdf,./Dated Documents/2023_12_13  WCC Hearing Continued.pdf,December 13 2023,Dam hearing continuation,Located
2023-12-31,,BETA Final Peer Review Report,Peer Reviews,critical,BETA,2023_MISSING_BETA_Final_Peer_Review_Report.txt,./Dated Documents/2023_MISSING_BETA_Final_Peer_Review_Report.txt,2023,Missing final peer review for dam project,Missing
2024-01-10,,WCC Hearing Continued,WCC Meetings,formality,WCC,2024_01_10  WCC Hearing Continued.pdf,./Dated Documents/2024_01_10  WCC Hearing Continued.pdf,January 10 2024,Dam hearing continuation,Located
2025-07-22,,ChatGPT Timeline Request Summary,Legal Documents,color,Unknown,2025_07_22_ChatGPT_Timeline Request Summary.pdf,./Dated Documents/2025_07_22_ChatGPT_Timeline Request Summary.pdf,July 22 2025,AI-generated timeline summary,Located
2025-07-23,,WCC Meeting,WCC Meetings,formality,WCC,2025_07_23 WCC Meeting,./Dated Documents/2025_07_23 WCC Meeting,July 23 2025,Recent WCC meeting,Located
2025-07-29,,DeMelle Email to Catrone,Emails,b/g communication,DeMelle/Catrone,2025_07_29 DeMelle email to Catrone,./Dated Documents/2025_07_29 DeMelle email to Catrone,July 29 2025,Recent email correspondence,Located
,,,Legal Documents,color,Unknown,Undated message from Abby McCabe.pdf,./Dated Documents/Undated message from Abby McCabe.pdf,Undated,Message from Abby McCabe,Located
,,,Site Plans,color,USGS,USGIS Orthophoto View of Locus Site - Lot 2B Mill St.pdf,./Dated Documents/USGIS Orthophoto View of Locus Site - Lot 2B Mill St.pdf,Undated,Aerial photo of site,Located
,,,Site Plans,color,USGS,USGS Site Locus - Lot 2B Mill St.pdf,./Dated Documents/USGS Site Locus - Lot 2B Mill St.pdf,Undated,USGS site location map,Located
